"Hugo_symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"FUT2"	-0.0300006523001901	4.13968213504881	-0.122090416745272	0.903496806411864	0.98502238415707	-5.89416765012161
"CDK5RAP1"	-0.033023773501573	7.25485941921852	-0.121765888484306	0.903752020067116	0.985227397275694	-5.89420530377618
"PHF21B"	0.0108579440036141	3.23386916445156	0.121428650856058	0.904017239523465	0.985371268715039	-5.89424432595328
"FAM81A"	0.0225269357567783	3.75046304481804	0.121294572070631	0.904122688456857	0.985371268715039	-5.89425981033178
"UBE2T"	-0.0447149171602721	8.14734902259259	-0.121235351682232	0.9041692640726	0.985371268715039	-5.89426664408453
"B3GNT2"	-0.0386295450533742	7.93590179876413	-0.121083078926697	0.904289025034901	0.985371268715039	-5.89428420033071
"RNF215"	0.0129336918829037	3.77882830172675	0.120978003243866	0.904371667305499	0.985371268715039	-5.89429630214813
"QARS"	-0.0392031434903277	10.0499309704948	-0.120975369949135	0.904373738411832	0.985371268715039	-5.89429660529615
"PCMTD2"	-0.024305190613287	7.46353588388216	-0.120867915417357	0.904458252796118	0.985371268715039	-5.89430896996562
"STAG3"	-0.0227419533319591	4.91005164628815	-0.120847517484927	0.904474296162128	0.985371268715039	-5.89431131589248
"ADAMTS15"	-0.0224827065195177	5.33061428616387	-0.120750701110773	0.904550444655464	0.985371268715039	-5.89432244516202
"TTC25"	0.0148543557216478	3.4855909385271	0.120743921857217	0.90455577674175	0.985371268715039	-5.89432322411927
"CARD11"	-0.0178771365890071	4.1755196495529	-0.120536505853535	0.90471891781608	0.985423807694871	-5.89434703574048
"TBC1D2"	-0.0303600187650543	4.75367545464061	-0.120429515180676	0.90480307194481	0.985423807694871	-5.89435930241431
"GCAT"	0.0111683923317338	3.39614812003775	0.120355080992496	0.904861619240284	0.985423807694871	-5.89436783000855
"ATF7IP2"	-0.0334884912633369	6.47802162876039	-0.120304483094175	0.904901418062141	0.985423807694871	-5.89437362377743
"PLXND1"	0.031797015836287	5.93395006103965	0.120200804852639	0.90498296910125	0.985423807694871	-5.89438548796632
"MPP4"	0.0188760851878875	4.57341777987126	0.120170129326911	0.905007097999564	0.985423807694871	-5.89438899629257
"TEX12"	-0.026148775284649	4.12713347682839	-0.12005112979747	0.905100702069583	0.985443009953341	-5.89440259767083
"SERINC3"	0.0387134696729827	8.1105520181974	0.119917221694196	0.905206034745633	0.985443009953341	-5.89441788696546
"PSAP"	-0.0260670350165668	10.6503943950241	-0.119891480850964	0.905226282800063	0.985443009953341	-5.89442082403735
"AGXT"	-0.0169023337590968	5.27053232058949	-0.119700795826667	0.905376279913068	0.985533155752495	-5.89444256188794
"ZNF540"	0.0243462438482585	5.58379567213913	0.119450190602491	0.905573416944177	0.985600016245956	-5.89447107799056
"LIM2"	-0.00894851223358639	3.09529891066236	-0.119429125658716	0.905589987826656	0.985600016245956	-5.89447347222756
"FIBP"	0.028438102539817	5.19342336077975	0.119265198970564	0.905718943342442	0.985600016245956	-5.89449208968314
"OSBPL2"	0.0109941566773788	4.02718113729114	0.119208231021265	0.905763758685075	0.985600016245956	-5.89449855365549
"LCAT"	0.0169251738217588	3.69817258037753	0.119195629724424	0.905773671870431	0.985600016245956	-5.89449998306785
"APLN"	0.0181508942871957	5.38498977159017	0.118913046309384	0.905995978541004	0.98563976855279	-5.89453199790881
"GLA"	0.0221582459997096	4.18411723559788	0.118902059731925	0.906004621770369	0.98563976855279	-5.89453324108237
"SHC4"	-0.0158303913647888	4.07551702963073	-0.118892942548362	0.906011794341237	0.98563976855279	-5.89453427263967
"RSBN1L"	0.0310798300253339	7.8276693241074	0.118689072044429	0.906172183197195	0.985741143810179	-5.89455731878072
"SEPN1"	0.0452256819023562	5.78688092568124	0.118577804264348	0.906259721386684	0.985763262387829	-5.89456988015835
"STAT2"	0.0665255301760395	7.51879268456318	0.118347712282946	0.906440746423467	0.985887058322662	-5.89459581864132
"ZBTB17"	0.0172562977875836	4.45140608676784	0.118067975822244	0.906660836109037	0.985956529596571	-5.89462728578983
"COQ3"	0.0348326389213121	5.96927994506738	0.117951535309273	0.906752450808318	0.985956529596571	-5.89464036208261
"BRMS1"	-0.019806111495221	6.64994320637599	-0.117948582472252	0.906754774099634	0.985956529596571	-5.89464069351918
"PREB"	0.0204113400814334	7.18089977571234	0.117924792281012	0.906773492245551	0.985956529596571	-5.89464336350954
"SLC2A2"	0.0185039601602126	4.18122195485297	0.117737464856489	0.906920883531181	0.98604369725264	-5.8946643685998
"USP53"	-0.0580469235660717	7.56650721449708	-0.117520345478199	0.907091719631802	0.986153256937787	-5.89468867252397
"TIMM17A"	-0.0311727230852465	7.9890727534677	-0.117293769736082	0.907270001059161	0.986153256937787	-5.89471398718057
"TMPRSS3"	-0.0419727868701338	5.74977387390055	-0.117190566065768	0.907351208619469	0.986153256937787	-5.89472550164924
"TUBG1"	-0.0284876388272268	7.73745129112877	-0.11705624514748	0.907456902825297	0.986153256937787	-5.89474047271156
"PUF60"	-0.0269584002771541	6.56681040002707	-0.116906637027435	0.907574628206369	0.986153256937787	-5.89475712745056
"GCDH"	0.00994126761457048	3.54808169476337	0.116861436555366	0.907610196496689	0.986153256937787	-5.89476215509044
"EDEM1"	0.0144852206161206	4.39160094365698	0.116831458253015	0.907633786555002	0.986153256937787	-5.89476548849979
"GSTO2"	-0.0415668358768073	6.2352305190017	-0.116760872716476	0.907689330960025	0.986153256937787	-5.89477333381787
"PGLYRP3"	0.0105223846962281	3.22022476899852	0.116735898505331	0.907708983508066	0.986153256937787	-5.89477610847329
"MAB21L1"	-0.0114349053140699	3.45369246806041	-0.116715771227483	0.907724821980878	0.986153256937787	-5.89477834419884
"C9orf16"	-0.016408860156611	6.2525166917723	-0.116592053935578	0.907822177910838	0.986153256937787	-5.89479207817818
